userId,movieId,rating
1,31,2.5
2,10,4
2,17,5
2,39,5
2,47,4
2,50,4
2,52,3
2,62,3
3,60,3
4,10,4
4,34,5
5,3,4
5,39,4
7,1,3
7,10,3
7,21,3
7,31,3
7,34,4
7,40,4
8,32,5
8,45,2.5
8,47,5
8,50,5
9,1,4
9,17,4
9,26,3
9,36,5
9,47,3
10,50,5
11,50,5
11,70,1
13,1,5
13,47,2.5
15,1,2
15,2,2
15,5,4.5
15,6,4
15,10,3
15,11,2.5
15,14,2.5
15,16,3.5
15,17,3
15,19,1
15,21,4.5
15,22,2.5
15,25,3
15,32,4
15,34,3
15,36,1
15,39,2.5
15,44,3
15,47,5
15,50,5
15,52,2.5
15,62,2
15,70,0.5
15,82,5
15,94,3
15,95,1.5
16,50,4.5
17,6,4.5
17,25,4.5
17,29,4.5
17,32,4.5
17,36,4.5
17,47,5
17,50,5
18,5,3
18,6,4
18,7,3
18,9,3
18,14,2
18,17,4
18,18,3
18,25,5
18,32,5
18,36,3
18,52,3
18,62,4
18,74,2
18,76,3
18,79,2
18,81,3
18,85,4
18,92,3
18,95,3
18,100,4
19,1,3
19,2,3
19,3,3
19,4,3
19,6,3
19,7,3
19,9,3
19,10,3
19,11,3
19,14,5
19,16,5
19,21,3
19,22,3
19,23,1
19,25,3
19,29,3
19,32,3
19,34,4
19,35,3
19,36,3
19,39,3
19,42,3
19,45,3
19,47,5
19,48,3
19,50,4
19,52,3
19,57,3
19,58,3
19,63,3
19,64,2
19,70,4
19,74,3
19,89,3
19,94,3
19,95,3
19,97,4
20,1,3.5
20,32,2.5
20,34,3.5
21,10,3
21,21,3
21,32,4
21,34,4
21,36,3
21,44,3
21,47,4
21,95,3
22,32,4.5
22,44,2
22,47,3.5
22,48,2
22,70,3
23,1,3
23,6,3.5
23,11,3.5
23,16,4
23,19,2
23,20,1.5
23,24,3.5
23,32,4
23,34,3.5
23,47,4.5
23,50,4
23,58,3.5
23,62,4
23,89,4
24,6,5
24,36,3
24,81,4
24,95,3
25,3,3
25,32,4
25,78,3
26,1,5
26,32,4.5
26,47,4.5
26,50,4.5
26,63,0.5
26,69,4.5
27,50,4
27,73,5
28,21,5
28,58,5
30,1,4
30,2,2
30,6,4
30,8,4
30,11,4
30,14,4
30,16,5
30,18,2
30,21,5
30,23,4
30,25,4
30,32,2
30,34,4
30,42,3
30,45,3
30,47,4
30,50,5
30,52,5
30,60,2
30,70,4
30,78,2
30,100,4
31,31,4
31,32,4.5
31,50,3.5
32,2,4
32,19,3
32,31,4
32,44,3
33,19,3
33,88,3
34,6,3
34,21,4
34,32,5
34,39,3
34,47,5
34,50,5
34,70,4
35,24,2.5
36,6,3
36,16,3
36,18,4
36,21,3
36,25,4
36,31,3
36,32,5
36,36,4
36,41,3
36,45,4
36,50,4
36,52,3
36,55,4
36,57,4
36,58,5
36,68,4
37,1,4
38,16,4.5
38,47,4
39,6,4
39,10,5
39,16,5
39,21,3
39,22,4
39,31,3
39,47,4
39,50,3
39,69,3
39,70,5
39,73,3
39,76,3
40,50,4.5
41,2,3.5
41,29,4
43,1,4
43,34,4
43,39,4
43,70,2
44,1,4
44,3,5
44,5,3
44,6,3
44,17,2
44,25,3
44,32,3
44,62,5
44,95,3
46,73,5
47,1,5
47,2,5
47,10,4
47,32,4
47,39,3
47,50,4
47,95,3
48,1,4
48,2,3.5
48,34,3
49,2,5
49,60,3
50,10,4
50,21,3
50,39,2
50,47,3
50,95,3
55,1,3
55,5,3
55,6,5
55,7,2
55,9,3
55,32,4
55,65,5
55,74,3
55,79,3
55,95,3
55,100,3
56,1,4
56,10,4
56,16,4
56,21,2
56,29,4
56,39,5
56,47,4
56,50,4
57,11,5
57,17,5
57,21,4
57,34,5
58,11,5
58,19,1
59,11,2.5
59,32,4.5
59,50,5
60,16,4.5
60,21,3
61,2,3.5
61,34,2
61,48,2.5
61,50,5
63,1,5
63,11,3.5
63,16,5
63,58,0.5
66,21,4
66,22,2
67,1,3
67,6,5
67,12,3
67,16,4
67,17,4
67,18,4
67,28,5
67,34,5
67,42,3
67,43,4
67,60,4
67,62,3
67,88,3
67,94,3
67,95,1
68,1,4
68,2,3
68,11,3.5
69,1,5
69,2,3.5
69,5,5
69,19,4
69,34,4
69,39,4.5
69,48,4.5
70,1,5
70,3,5
70,5,5
70,7,3
70,9,3
70,12,3
70,14,3
70,17,4
70,25,5
70,26,5
70,32,4
70,36,4
70,52,4
70,58,5
70,61,4
70,62,5
70,63,4
70,65,3
70,76,4
70,79,4
70,81,4
70,82,4
70,88,3
70,92,5
70,95,5
70,100,4
72,1,3.5
72,2,2.5
72,47,3.5
72,50,4
73,1,5
73,2,2.5
73,6,4.5
73,10,3
73,15,2.5
73,16,4
73,19,1.5
73,21,3.5
73,25,4.5
73,31,3.5
73,32,5
73,34,2.5
73,36,4.5
73,39,4
73,44,3
73,47,5
73,48,2
73,50,5
73,60,2
73,63,3.5
73,65,2
73,69,4
73,70,3.5
73,98,3
74,10,5
74,16,3
74,17,4
75,1,3
75,3,3
75,32,4
76,45,5
77,1,4
77,6,3.5
77,10,3
77,32,4
77,34,3.5
77,39,2.5
77,47,4
77,62,3.5
77,70,3.5
77,76,3.5
77,95,1.5
78,2,3.5
78,10,5
78,16,5
78,32,5
78,34,3.5
78,39,5
78,47,4
78,50,5
79,1,2
79,2,2.5
79,7,0.5
80,2,2
80,6,4
80,7,4
80,10,3
80,16,5
80,20,1
80,21,4
80,25,4
80,32,5
80,45,4
80,46,3
80,50,3
80,73,5
80,89,3
80,93,1
80,95,2
80,100,2
82,10,3
82,21,3
82,34,5
82,39,5
82,47,5
82,50,4
83,6,5
83,21,1
83,39,4
83,50,5
83,69,3.5
84,1,3.5
85,2,5
85,3,2
85,5,3
85,10,5
85,19,3
85,21,4
85,23,3
85,44,2
85,58,1
86,1,3
86,11,1
86,14,4
86,17,5
86,18,5
86,19,1
86,21,1
86,25,3
86,26,4
86,28,4
86,29,4
86,30,5
86,32,5
86,34,3
86,35,4
86,36,4
86,39,4
86,41,4
86,46,3
86,47,5
86,58,4
86,62,3
86,68,4
86,72,4
86,73,3
86,81,5
86,82,3
86,85,4
86,97,4
87,1,3
87,7,3
87,25,4
87,32,3
87,52,4
87,62,1
87,88,3
87,95,3
88,2,3.5
88,7,4
88,11,3.5
88,21,3.5
88,31,3
88,36,4
88,39,3
88,47,4
88,62,3.5
88,95,2
